Manufacturer;Model;Size;LCD Type;Resolution;Range;Interface;LFC;Freesync 2;HDR
Acer;XF240Q P;24";TN;1920x1080;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XF240YU;24";TN;2560x1440;40-144 via DisplayPort 40-70 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XF250Q;25";TN;1920x1080;48-240 via DisplayPort 48-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XF250Q/XF250Q B;25";TN;1920x1080;40-144 via DisplayPort 40-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XF250Q/XF250Q C;25";TN;1920x1080;48-240 via DisplayPort 48-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XF251Q;25";TN;1920x1080;40-75 via DisplayPort 40-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;XF270H A;27";TN;1920x1080;48-240 via DisplayPort 48-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XF270H B;27";TN;1920x1080;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XF270HA;27";TN;1920x1080;48-240 via DisplayPort 240-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XF270HU;27";IPS;2560x1440;40-144 via DisplayPort 40-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XF270HU/ XF270HU C(2nd Panel Source);27";IPS;2560x1440;40-144 via DisplayPort 40-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XF270HU/XF270HU C;27";TN;2560x1440;40-144 via DisplayPort 40-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XF290C;29";IPS;2560x1080;48-75 via DisplayPort;DisplayPort™;Yes;No;No
Acer;XFA240;24";TN;1920x1080;48-144 via DisplayPort 48-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XG270HU;27";TN;2560x1440;40-144 via DisplayPort 40-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XG270HU V.2;27";NA;2560x1440;40-144 via DisplayPort 40-60 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XR341CK;34";IPS;3440x1440;30-75 via DisplayPort;DisplayPort™;Yes;No;No
Acer;XR342CKP/XR342CK P;34";IPS;3440x1440;48-100 via DisplayPort 48-100 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XR382CQK;38";IPS;3840x1600;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Acer;XV273K;27";TN;3840x2160;48-120 via DisplayPort;DisplayPort™;Yes;No;No
Acer;XZ271;27";VA;1920x1080;48-144 via DisplayPort 48-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XZ271_A;27";VA;1920x1080;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XZ271U;27";VA;2560x1440;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XZ271U A;27";TN;2560x1440;40-144 via DisplayPort 40-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
